year,flood_area_km2,image_count,status
2015,30487.150326737217,14,success
2016,32954.10044683008,30,success
2017,37655.389057468215,43,success
2018,38087.10414855807,50,success
2019,38119.520445882095,50,success
2020,35453.85279353448,44,success
2021,35747.63136176735,40,success
2022,32351.182668352114,25,success
2023,33525.07821869794,25,success
2024,33509.44822725609,24,success
