year,month,date,open_water_km2,flooded_veg_km2,total_flood_km2,image_count
2019,7,2019-07-01,21630.994343971593,6057.480098213365,27688.474442184946,39
2019,8,2019-08-01,21593.472590330362,6173.485119252925,27766.95770958328,41
2019,9,2019-09-01,26317.390975008515,5113.499923763377,31430.890898771886,44
2019,10,2019-10-01,32458.49032471064,1362.3964975861327,33820.88682229675,40
2019,11,2019-11-01,22355.112694855354,9484.215272248324,31839.327967103665,41
2019,12,2019-12-01,14399.117269508964,13337.342639838345,27736.45990934729,38
2020,1,2020-01-01,12936.95078612743,14821.47075380375,27758.421539931176,39
2020,2,2020-02-01,14621.22989502512,12921.370917130296,27542.600812155422,37
2020,3,2020-03-01,22888.77542418584,5640.900443316702,28529.675867502538,42
