lon,lat,vv,vh,cell_id
104.65,10.34999999999997,-10.065196511161643,-16.818603907763094,104.6_10.3
104.65,10.449999999999969,-9.313722535470784,-15.79140202108032,104.6_10.4
104.65,10.549999999999969,-8.680730275616206,-15.663337463739955,104.6_10.5
104.65,10.649999999999968,-8.456514852482272,-17.190863088389722,104.6_10.6
104.65,10.749999999999968,-7.5565813209618,-15.052759444844078,104.6_10.7
104.65,10.849999999999968,-7.915776892171892,-15.894904127759414,104.6_10.8
104.65,10.949999999999967,-8.14079935675629,-16.10318515987765,104.6_10.9
104.65,11.049999999999967,-8.26035312424115,-16.021635407803217,104.6_11.0
104.75,8.549999999999976,-19.90588321224097,-31.93074771635001,104.7_8.5
104.75,8.649999999999975,-14.616142379706865,-22.878689654534444,104.7_8.6
104.75,8.749999999999975,-20.715515014288375,-32.29827888495037,104.7_8.7
104.75,8.849999999999975,-19.088277100674837,-30.114281491363748,104.7_8.8
104.75,8.949999999999974,-20.495008343584402,-32.24853957335411,104.7_8.9
104.75,9.049999999999974,-20.238736969170535,-32.366430161063924,104.7_9.0
104.75,9.149999999999974,-19.80876531284271,-32.64400685140559,104.7_9.1
104.75,9.249999999999973,-19.46208524462039,-33.09257782245024,104.7_9.2
104.75,9.349999999999973,-19.641769545970494,-33.965908675356,104.7_9.3
104.75,9.449999999999973,-19.697394964323585,-34.80828384121717,104.7_9.4
104.75,9.549999999999972,-18.88405933970533,-34.2702626652354,104.7_9.5
104.75,9.649999999999972,-18.264468709029916,-33.7844462075442,104.7_9.6
104.75,9.749999999999972,-18.116162941625902,-32.8233624731322,104.7_9.7
104.75,9.849999999999971,-18.31114170691369,-32.44542296377534,104.7_9.8
104.75,9.94999999999997,-17.550399672021843,-31.627257895880746,104.7_9.9
104.75,10.04999999999997,-16.931575616331155,-31.323682889364083,104.7_10.0
104.75,10.14999999999997,-17.460300661961927,-30.421262220936562,104.7_10.1
104.75,10.24999999999997,-10.947869391362032,-18.26874474405696,104.7_10.2
104.75,10.34999999999997,-9.082191356618031,-15.369997078510472,104.7_10.3
104.75,10.449999999999969,-9.246489529272301,-15.328775462898502,104.7_10.4
104.75,10.549999999999969,-8.809305686263107,-15.687030725954738,104.7_10.5
104.75,10.649999999999968,-8.515583606001401,-15.590002861643823,104.7_10.6
104.75,10.749999999999968,-8.162059738471502,-15.710986045976872,104.7_10.7
104.75,10.849999999999968,-8.368363377211308,-16.135844319605653,104.7_10.8
104.75,10.949999999999967,-8.469247137766024,-16.19343509775531,104.7_10.9
104.75,11.049999999999967,-8.781385663205391,-16.254854743562973,104.7_11.0
104.85,8.549999999999976,-17.103173938656212,-26.97651876287542,104.8_8.5
