year,flood_vv_km2,flood_vh_km2,precip_wet_mm
2015,3892.22679054134,4982.148933792589,
2016,5898.124854894832,7430.943820494515,
2017,8076.027191679886,10357.122466724431,
2018,12174.10364248776,15662.87952345259,
2019,10445.250922172088,14813.895928273174,
2020,5921.985055647531,10199.83146520205,
2021,8692.581277716603,12975.420469600642,
2022,8961.275772451592,12896.92084403432,
2023,7306.19470459635,10711.631726106909,
2024,8195.93769552257,11576.851789594672,
