year,dry_vh_km2,precip_dry_mm
2015,8801.69436933502,76.057222892089
2016,14991.526078087032,48.13523872707266
2017,11562.232075605794,137.20711462339327
2018,13212.833320361276,143.9130409375184
2019,20371.752892936205,147.82946560285362
2020,21713.95015651763,125.16933045304286
2021,19051.57482011916,158.26311397233303
2022,11460.087220407231,194.82138907419767
2023,16509.042439168585,76.6836194059776
2024,18860.98216625461,40.99202912297314
