year,flood_area_km2
2015,39263.4411312101
2016,41105.05172424984
2017,48699.0052867601
2018,50513.34570148544
2019,51048.84996518948
2020,48493.98654882919
2021,48029.214020063104
2022,46918.92652928599
2023,47666.07366130297
2024,47048.45562073217
