year,dry_vh_km2,precip_dry_mm
2015,36829.4286395826,38.41849676190635
2016,40975.32620274473,11.114967976599536
2017,45017.50081852491,100.53921765796925
2018,46549.48829555765,49.563316749774735
2019,49696.49336129008,48.7864301126648
2020,50521.83735154089,78.69124079711854
2021,48443.40003357957,191.8170355017228
2022,46010.56912131832,195.8372957925092
2023,46413.03926798155,61.289895854363486
2024,48731.23616049027,18.77770136999029
