year,aoi,scene_count,stage_1_raw_km2,stage_2_opened_km2,stage_3_closed_km2,stage_4_topo_km2,stage_5_lc_km2,noise_removed_pct,holes_filled_pct,slope_filtered_pct,lc_invalid_pct
2018,Mekong_Delta,87,50513.345701485436,50513.345701485436,50513.345701485436,48396.36388850557,12277.857351756627,0.0,0.0,4.190935649937779,74.63062022584575
2018,Tonle_Sap,96,15662.879523404565,15662.879523404565,15662.879523404565,15095.684563460536,9534.701630093197,0.0,0.0,3.6212687398666796,36.838229561498856
