th_vv,th_vh,vv_km2,vh_km2,vh_gain_pct,aoi,year
-14,-20,50969.84176322046,53560.01092295578,4.836013128266887,Mekong_Delta,2018
-14,-21,50969.84176322046,50766.08383065608,-0.4013662610731684,Mekong_Delta,2018
-14,-22,50969.84176322046,48396.36388850557,-5.317502531065366,Mekong_Delta,2018
-14,-23,50969.84176322046,46447.756939870254,-9.735851893137374,Mekong_Delta,2018
-14,-24,50969.84176322046,44792.92068790049,-13.789949350162562,Mekong_Delta,2018
-15,-20,48135.43612126102,53560.01092295578,10.128031544836361,Mekong_Delta,2018
-15,-21,48135.43612126102,50766.08383065608,5.181900022405312,Mekong_Delta,2018
-15,-22,48135.43612126102,48396.36388850557,0.539147461254884,Mekong_Delta,2018
-15,-23,48135.43612126102,46447.756939870254,-3.633499855710097,Mekong_Delta,2018
-15,-24,48135.43612126102,44792.92068790049,-7.462151121267267,Mekong_Delta,2018
-16,-20,45569.4264014492,53560.01092295578,14.918937438233081,Mekong_Delta,2018
-16,-21,45569.4264014492,50766.08383065608,10.236474900332535,Mekong_Delta,2018
-16,-22,45569.4264014492,48396.36388850557,5.841218760915599,Mekong_Delta,2018
-16,-23,45569.4264014492,46447.756939870254,1.8910074377932014,Mekong_Delta,2018
-16,-24,45569.4264014492,44792.92068790049,-1.7335456175298212,Mekong_Delta,2018
-17,-20,43267.52249960864,53560.01092295578,19.216740710065437,Mekong_Delta,2018
-17,-21,43267.52249960864,50766.08383065608,14.770809101724117,Mekong_Delta,2018
-17,-22,43267.52249960864,48396.36388850557,10.597575885478994,Mekong_Delta,2018
-17,-23,43267.52249960864,46447.756939870254,6.846906395024935,Mekong_Delta,2018
-17,-24,43267.52249960864,44792.92068790049,3.405444799905389,Mekong_Delta,2018
-18,-20,41226.389257452975,53560.01092295578,23.027668316282256,Mekong_Delta,2018
-18,-21,41226.389257452975,50766.08383065608,18.791472284971448,Mekong_Delta,2018
-18,-22,41226.389257452975,48396.36388850557,14.815110175571492,Mekong_Delta,2018
-18,-23,41226.389257452975,46447.756939870254,11.24137746668088,Mekong_Delta,2018
-18,-24,41226.389257452975,44792.92068790049,7.962265857361056,Mekong_Delta,2018
-14,-20,15613.893090138308,19687.648608112268,20.691935329927485,Tonle_Sap,2018
-14,-21,15613.893090138308,17095.783650688918,8.668163980250727,Tonle_Sap,2018
-14,-22,15613.893090138308,15095.684563460536,-3.4328256164818667,Tonle_Sap,2018
-14,-23,15613.893090138308,13562.967143552542,-15.121513787347926,Tonle_Sap,2018
-14,-24,15613.893090138308,12382.138567710705,-26.100132095558614,Tonle_Sap,2018
-15,-20,13339.692905165053,19687.648608112268,32.24334113892884,Tonle_Sap,2018
-15,-21,13339.692905165053,17095.783650688918,21.970860314276987,Tonle_Sap,2018
-15,-22,13339.692905165053,15095.684563460536,11.632408261536561,Tonle_Sap,2018
-15,-23,13339.692905165053,13562.967143552542,1.6462049640341918,Tonle_Sap,2018
-15,-24,13339.692905165053,12382.138567710705,-7.73335181332402,Tonle_Sap,2018
-16,-20,11822.903737450353,19687.648608112268,39.94760891567954,Tonle_Sap,2018
-16,-21,11822.903737450353,17095.783650688918,30.843160050320833,Tonle_Sap,2018
-16,-22,11822.903737450353,15095.684563460536,21.68024121232651,Tonle_Sap,2018
-16,-23,11822.903737450353,13562.967143552542,12.829518701070999,Tonle_Sap,2018
-16,-24,11822.903737450353,12382.138567710705,4.5164639953124555,Tonle_Sap,2018
-17,-20,10791.577599377013,19687.648608112268,45.18605134525634,Tonle_Sap,2018
-17,-21,10791.577599377013,17095.783650688918,36.87579452409519,Tonle_Sap,2018
-17,-22,10791.577599377013,15095.684563460536,28.512168136460115,Tonle_Sap,2018
-17,-23,10791.577599377013,13562.967143552542,20.433504813826598,Tonle_Sap,2018
-17,-24,10791.577599377013,12382.138567710705,12.84560788619704,Tonle_Sap,2018
-18,-20,10033.5525055145,19687.648608112268,49.036308473221176,Tonle_Sap,2018
-18,-21,10033.5525055145,17095.783650688918,41.30978309900305,Tonle_Sap,2018
-18,-22,10033.5525055145,15095.684563460536,33.53363695873088,Tonle_Sap,2018
-18,-23,10033.5525055145,13562.967143552542,26.022437425986293,Tonle_Sap,2018
-18,-24,10033.5525055145,12382.138567710705,18.96753173414394,Tonle_Sap,2018
