aoi,baseline_wet_km2,baseline_dry_km2,jrc_perm_km2
Mekong_Delta,39914.49387687479,37503.69651509117,22663.7120816329
Tonle_Sap,4839.440929313576,3178.619294698543,2364.5621700449833
Union_ALL,44753.934806274,40682.315809852334,25028.27425178217
