year,aoi,water_extent_km2,vh_scene_count,data_quality,precip_total_mm,water_anomaly_km2,water_anomaly_pct,precip_anomaly_mm,precip_anomaly_pct,spi_like,ecological_status,below_ecological_threshold,threshold_deficit_km2
2015,Mekong_Delta,36829.4286395826,17,good,38.41849676190635,-674.2678755085726,-1.7978704452166545,-41.06506309555552,-51.66485140977284,-0.6253053836992479,,,
2016,Mekong_Delta,40975.326202744734,23,good,11.114967976599537,3471.6296876535635,9.256766693002138,-68.36859188086234,-86.01601639819349,-1.0410613148106154,,,
2017,Mekong_Delta,45017.50081852491,60,good,100.53921765796925,7513.804303433739,20.034836567137447,21.055657800507376,26.49058225155813,0.3206184329815704,,,
2018,Mekong_Delta,46549.48829555766,70,good,49.563316749774735,9045.79178046649,24.11973384230682,-29.920243107687135,-37.643310341589135,-0.4556011287086514,,,
2019,Mekong_Delta,49696.49336129008,85,good,48.786430112664796,12192.796846198908,32.5109202003398,-30.697129744797074,-38.62072836174718,-0.4674309265973931,,,
2020,Mekong_Delta,50521.8373515409,80,good,78.69124079711854,13018.140836449726,34.71162057641794,-0.7923190603433312,-0.9968338883716326,-0.012064790278961873,,,
2021,Mekong_Delta,48443.40003357957,69,good,191.81703550172273,10939.7035184884,29.169667352887085,112.33347564426086,141.32919542822296,1.7105228092930176,,,
2022,Mekong_Delta,46010.56912131832,55,good,195.83729579250914,8506.872606227153,22.682757692442554,116.35373593504727,146.38717257217067,1.7717400634307112,,,
2023,Mekong_Delta,46413.03926798155,53,good,61.289895854363486,8909.342752890378,23.755905632676324,-18.193664003098384,-22.889845441906655,-0.2770383190178008,,,
2024,Mekong_Delta,48731.23616049027,46,good,18.777701369990286,11227.539645399098,29.937154703886936,-60.70585848747159,-76.37536441037065,-0.9243794425926268,,,
2015,Tonle_Sap,8801.69436933502,14,good,76.057222892089,5623.075074636477,176.90306870076947,-38.84993358905612,-33.80984681787938,-0.7572938607567012,healthy,False,0.0
2016,Tonle_Sap,14991.526078087032,25,good,48.13523872707266,11812.90678338849,371.6364146876801,-66.77191775407246,-58.109450967946394,-1.3015714240591314,healthy,False,0.0
2017,Tonle_Sap,11562.232075605794,49,good,137.20711462339327,8383.612780907251,263.7501381461395,22.299958142248144,19.406935847296243,0.43468855249248384,healthy,False,0.0
2018,Tonle_Sap,13212.833320361276,53,good,143.9130409375184,10034.214025662734,315.67838408324917,29.005884456373266,25.242887688316245,0.5654058114224791,healthy,False,0.0
2019,Tonle_Sap,20371.752892936205,91,good,147.82946560285362,17193.133598237662,540.899428469248,32.922309121708494,28.651226024473637,0.6417478815672262,healthy,False,0.0
2020,Tonle_Sap,21713.95015651763,100,good,125.16933045304286,18535.330861819086,583.125223355097,10.262173971897738,8.93083971978859,0.20003847185789184,healthy,False,0.0
2021,Tonle_Sap,19051.57482011916,85,good,158.26311397233303,15872.955525420617,499.3663617374471,43.35595749118791,37.731294393576,0.8451288690118663,healthy,False,0.0
2022,Tonle_Sap,11460.087220407233,48,good,194.82138907419767,8281.46792570869,260.5366405319734,79.91423259305255,69.5467845870553,1.5577518965656514,healthy,False,0.0
2023,Tonle_Sap,16509.042439168585,50,good,76.6836194059776,13330.423144470042,419.3777835144704,-38.22353707516753,-33.2647140924069,-0.7450836408015027,healthy,False,0.0
2024,Tonle_Sap,18860.98216625461,47,good,40.99202912297314,15682.362871556066,493.37027865249166,-73.91512735817199,-64.32595638227335,-1.440812557300263,healthy,False,0.0
